"","breast-w","credit-a","credit-g","diabetes","electricity","gina_agnostic","irish","jm1","kc1","kr-vs-kp","MagicTelescope","monks-problems-1","monks-problems-2","monks-problems-3","mozilla4","mushroom","musk","pc1","pc3","pc4","profb","scene","sick","spambase","sylva_agnostic","tic-tac-toe"
"weka.AdaBoostM1_DecisionStump(14)",0.990754,0.934845,0.770824,0.824082,0.869234,0.926233,1,0.716893,0.784733,0.992411,0.886538,0.721663,0.564373,0.983213,0.957486,0.999999,0.995805,0.853638,0.803644,0.927956,0.641039,0.989475,0.983889,0.977421,0.998722,0.975899
"weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_AdaBoostM1_DecisionStump(3)",0.990754,0.928067,0.752895,0.824903,0.831955,0.90976,1,0.716354,0.782884,0.970994,0.853536,0.721663,0.53199,0.980087,0.955458,0.992068,0.960264,0.820736,0.80662,0.906913,0.616321,0.980689,0.957136,0.975114,0.998078,0.770764
"weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_HoeffdingTree(3)",0.978764,0.766476,0.750788,0.818951,0.645586,0.838569,1,0.579173,0.495732,0.961614,0.835608,0.699006,0.490998,0.978488,0.937569,0.992292,0.999986,0.485597,0.499252,0.654128,0.576486,0.49835,0.935051,0.632146,0.985223,0.774433
"weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_IBk(3)",0.976621,0.826056,0.678443,0.660746,0.6915,0.884584,0.994426,0.627986,0.685296,0.970021,0.750301,0.653771,0.495361,0.985961,0.933014,0.993127,0.999999,0.732162,0.65425,0.840002,0.58228,0.925273,0.864679,0.911414,0.951352,0.871444
"weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_J48(4)",0.958896,0.884654,0.728521,0.783806,0.844663,0.88505,1,0.663947,0.740142,0.959444,0.865072,0.683764,0.490998,0.98929,0.942439,0.992303,0.999999,0.735308,0.649098,0.839956,0.486582,0.896221,0.920525,0.950074,0.975405,0.775937
"weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_JRip(3)",0.966058,0.883132,0.647831,0.722743,0.785413,0.903922,1,0.56922,0.604645,0.940586,0.787486,0.713,0.496946,0.981386,0.89708,0.987817,0.999607,0.617122,0.549869,0.629508,0.514823,0.880386,0.902103,0.923844,0.964178,0.726459
"weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_Logistic(3)",0.99393,0.924418,0.754998,0.821358,0.801806,0.926826,0.989589,0.713012,0.79183,0.969472,0.819523,0.704499,0.525439,0.983168,0.894651,0.992497,1,0.742185,0.793427,0.824372,0.633655,0.977868,0.939448,0.966444,0.997657,0.77075
"weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_MultilayerPerceptron(3)",0.970311,0.881375,0.730098,0.817821,0.78305,0.868302,1,0.687799,0.767455,0.971235,0.817542,0.720938,0.631117,0.988422,0.905201,0.992131,0.999999,0.65882,0.801604,0.779045,0.628777,0.957664,0.897197,0.957873,0.98875,0.725425
"weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_NaiveBayes(3)",0.979837,0.904504,0.750283,0.821358,0.794951,0.874943,0.999579,0.66604,0.746946,0.966954,0.795514,0.711143,0.52394,0.978488,0.874409,0.991181,0.999999,0.676772,0.786859,0.807047,0.64065,0.880016,0.934732,0.946226,0.996628,0.774433
"weka.AttributeSelectedClassifier_CfsSubsetEval_BestFirst_RandomForest(3)",0.991656,0.908642,0.723614,0.801784,0.884172,0.964941,0.999692,0.745084,0.813533,0.969851,0.88756,0.652807,0.501745,0.989472,0.970476,0.993129,0.999999,0.853827,0.83058,0.903801,0.599505,0.963512,0.942275,0.978157,0.997302,0.872662
